target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
"1",0.9860615164883954,29.00000425,30,30,0,0,1440.680166,1623.563333,1674.174583,1674.174583
"2",1.9061527558668745,29.500019375,60,60,0,0,1782.142208,2180.821146,2291.034658,2297.373458
"3",0.8066763170638436,29.666690833,90,32,58,64.44444444444444,10000.287145,10002.44475,10003.1564,10003.26625
"4",0,29.750415791,120,0,120,100,10000.402666,10001.448208,10001.612862,10001.775292
"5",0,29.799973708,150,0,150,100,10000.561697,10001.517292,10001.797959,10002.655667
"6",0,29.833398125,180,0,180,100,10000.331812,10001.362854,10001.537583,10002.020709
"8",0,29.875024084,240,0,240,100,10000.335041,10001.290875,10001.615104,10002.059792
"10",0,29.899993417,300,0,300,100,10000.173062,10001.246979,10001.354437,10001.637375
